Date,Open,High,Low,Close
20181103,6387.24,6400.07,6342.37,6361.26
20181104,6365.47,6388.63,6294.57,6376.13
20181105,6363.62,6480.59,6363.62,6419.66
20181106,6433.38,6463.55,6408.16,6461.01
20181107,6468.5,6552.16,6468.31,6530.14
20181108,6522.27,6536.92,6438.53,6453.72
20181109,6442.6,6456.46,6373.37,6385.62
20181110,6386.13,6437.28,6385.31,6409.22
20181111,6413.63,6423.25,6350.17,6411.27
20181112,6411.76,6434.21,6360.47,6371.27
20181113,6373.19,6395.27,6342.67,6359.49
20181114,6351.24,6371.55,5544.09,5738.35
20181115,5736.15,5774.82,5358.38,5648.03
20181116,5645.32,5657.02,5498.94,5575.55
20181117,5578.58,5578.58,5519.56,5554.33
20181118,5559.74,5653.61,5559.74,5623.54
20181119,5620.78,5620.78,4842.91,4871.49
20181120,4863.93,4951.61,4272.11,4451.87
20181121,4465.54,4675.73,4343.98,4602.17
20181122,4611.57,4629.64,4365.64,4365.94
20181123,4360.7,4396.42,4195.68,4347.11
20181124,4347.69,4413.09,3795.16,3880.76
20181125,3880.78,4120.87,3585.06,4009.97
20181126,4015.07,4107.14,3643.92,3779.13
20181127,3765.95,3862.96,3661.01,3820.72
20181128,3822.47,4385.9,3822.47,4257.42
20181129,4269.0,4413.02,4145.77,4278.85
20181130,4289.09,4322.98,3942.82,4017.27
20181201,4024.46,4309.38,3969.71,4214.67
20181202,4200.73,4301.52,4110.98,4139.88
20181203,4147.32,4155.98,3840.45,3894.13
20181204,3886.29,4075.63,3832.75,3956.89
20181205,3958.89,3969.54,3753.99,3753.99
20181206,3754.07,3874.97,3521.1,3521.1
20181207,3512.59,3512.59,3280.23,3419.94
20181208,3421.91,3506.04,3350.65,3476.11
20181209,3473.23,3685.31,3469.09,3614.23
20181210,3612.05,3647.33,3470.14,3502.66
20181211,3497.55,3513.19,3392.25,3424.59
20181212,3421.46,3534.23,3413.48,3486.95
20181213,3487.88,3489.74,3298.13,3313.68
20181214,3311.75,3329.56,3206.54,3242.48
20181215,3244.0,3275.38,3191.3,3236.76
20181216,3236.27,3305.75,3233.82,3252.84
20181217,3253.12,3597.92,3253.12,3545.86
20181218,3544.76,3701.35,3487.17,3696.06
20181219,3706.82,3949.32,3687.23,3745.95
20181220,3742.2,4191.23,3728.97,4134.44
20181221,4133.7,4198.43,3850.95,3896.54
20181222,3898.08,4014.18,3855.74,4014.18
20181223,4020.99,4085.72,3976.41,3998.98
20181224,4000.33,4271.79,4000.33,4078.6
20181225,4081.03,4089.56,3760.02,3815.49
20181226,3819.67,3893.36,3769.86,3857.3
20181227,3854.69,3874.42,3645.45,3654.83
20181228,3653.13,3956.14,3642.63,3923.92
20181229,3932.49,3963.76,3820.41,3820.41
20181230,3822.38,3901.91,3797.22,3865.95
20181231,3866.84,3868.74,3725.87,3742.7
20190101,3746.71,3850.91,3707.23,3843.52
20190102,3849.22,3947.98,3817.41,3943.41
20190103,3931.05,3935.69,3826.22,3836.74
20190104,3832.04,3865.93,3783.85,3857.72
20190105,3851.97,3904.9,3836.9,3845.19
20190106,3836.52,4093.3,3826.51,4076.63
20190107,4078.58,4092.61,4020.89,4025.25
20190108,4028.47,4109.02,3996.96,4030.85
20190109,4031.55,4068.4,4022.66,4035.3
20190110,4034.41,4064.07,3659.17,3678.92
20190111,3674.02,3713.88,3653.07,3687.37
20190112,3686.97,3698.98,3653.81,3661.3
20190113,3658.87,3674.76,3544.93,3552.95
20190114,3557.31,3727.84,3552.29,3706.05
20190115,3704.22,3720.15,3619.95,3630.68
20190116,3631.51,3685.78,3624.67,3655.01
20190117,3651.87,3680.14,3621.96,3678.56
20190118,3677.99,3682.52,3637.08,3657.84
20190119,3652.38,3758.53,3652.38,3728.57
20190120,3725.45,3743.39,3583.02,3601.01
20190121,3600.37,3608.84,3558.54,3576.03
20190122,3575.08,3620.75,3539.72,3604.58
20190123,3605.56,3623.07,3565.31,3585.12
20190124,3584.5,3616.09,3569.09,3600.87
20190125,3607.39,3612.93,3575.6,3599.77
20190126,3599.72,3654.93,3593.35,3602.46
20190127,3604.69,3612.67,3567.25,3583.97
20190128,3584.28,3586.75,3439.23,3470.45
20190129,3468.87,3476.07,3400.82,3448.12
20190130,3443.9,3495.17,3429.39,3486.18
20190131,3485.41,3504.8,3447.92,3457.79
